a1preR,a1postR,a2preR,a2postR
STC2,-1.01343767703171,0.999965658812717,-0.690731555846169,0.704203574065162
RBP4,-1.07906948528578,0.0840347079415167,-0.319030255291155,1.31406503263542
TTR,-1.1787689106237,0.520012180822746,-0.419991694754284,1.07874842455524
ALB,-1.22372411615358,0.120959163106233,-0.111875730199017,1.21464068324637
EPHB2,-0.578792604083844,1.14608392354637,-1.05519638427166,0.487905064809142
THBS3,-1.28049972921597,0.445302315858804,-0.220072419894266,1.05526983325143
FBLN7,-1.11658860638974,0.978622318634237,-0.557918320976596,0.6958846087321
SFRP2,-0.865061549637589,1.16971622388374,-0.799252848929405,0.494598174683257
HIP1,1.16143640205046,-1.1133971197306,-0.476931581521844,0.428892299201982
AGPAT2,1.42229513513693,-0.919664458135343,-0.301190353673274,-0.201440323328312
ACTN4,0.921561456694661,-1.42123717257134,0.304479738935433,0.195195976941248
GGCT,0.650166619955346,-1.45783902467039,0.654656245191851,0.153016159523195
CRP,1.44944271204324,-0.716603062359716,-0.12448088683542,-0.608358762848106
C9,1.00555305092244,-1.37139389715993,0.0393549707543634,0.32648587548313
FCGR3A,1.3036043545904,-0.864688102414618,-0.697268985122891,0.258352732947106
SAA1,1.47435194718712,-0.562375584211168,-0.238997865119642,-0.672978497856312
SAA2,1.46096155003537,-0.714605173594124,-0.177721191846106,-0.568635184595143
TXN,1.06911069867294,-1.05892276190733,0.601384803409683,-0.611572740175287
PIP,0.69055638311241,-1.48247089698536,0.472923557006147,0.318990956866799
PLA2G2A,1.49243658546666,-0.54674075152807,-0.588037508110904,-0.357658325827684
MGAT1,1.49215517605335,-0.622319047252277,-0.497705358180333,-0.372130770620744
ARHGAP25,1.0827502473912,0.260262539199048,-1.3265154161305,-0.0164973704597458
FNTB,0.968557462529495,-0.661910990931859,0.734582798810247,-1.04122927040788
DNAJC3,1.30645713125734,-0.821175019859823,0.257904640079281,-0.743186751476799
P3H1,1.10357364385885,-0.654671962497288,0.566995137998569,-1.01589681936013
CREBRF,1.05406951676084,-1.20518515112323,-0.385445565601021,0.53656119996341
MRPL9,1.04473951538227,-1.3609552959803,0.101877038480858,0.214338742117172
TBCA,-1.06471391240933,1.33234905372215,0.0326396300513602,-0.300274771364177
PSMG1,-0.420430054482736,1.42310241702566,-0.117056239926839,-0.885616122616087
ALDH2,-0.887666940161849,0.55091591442977,1.13062247490487,-0.793871449172789
LIPC,-1.4277305176739,0.859292328859146,0.10866101966435,0.459777169150401
COL11A2,-0.483149321546215,0.959289478066211,-1.16892337122174,0.692783214701746
CD59,-1.31732487782191,0.677511454182052,-0.228250559037958,0.868063982677816
CAST,-1.18243068300376,1.26295954214993,-0.0823858386545699,0.00185697950839728
BMP6,-1.47593990726439,0.728349755375269,0.297432433283411,0.450157718605704
CA6,-1.27537051655275,0.629106966593041,-0.296878782224148,0.943142332183851
TPP2,-0.883145818191439,1.30080859538461,0.260598778871444,-0.678261556064618
CXCL12,-0.623354773775326,1.18458442802315,-1.00542486999481,0.444195215746989
COMP,-1.24267474548553,0.359243270016936,-0.242564235652212,1.12599571112081
SKP1,-0.763190839971342,1.46829952783132,-0.433322863497761,-0.27178582436222
PPP1R7,-0.968641707016148,0.962932855828052,0.75600688794969,-0.750298036761592
FSCN1,-1.10135450400871,1.32719348789628,-0.106833488995962,-0.119005494891602
NOTUM,-1.3216979281063,0.672809177172406,-0.218655105479135,0.867543856413034
ANGPTL8,-1.1531510883495,1.2676767290257,-0.225608026594348,0.111082385918143
CHMP1B,-0.108296367656098,1.44661986945251,-0.667167718876146,-0.671155782920262
TPPP3,-1.49527730342901,0.610524700169678,0.444804453778929,0.439948149480399
ASPN,-1.35103146307409,0.444634836699218,-0.0788902253216467,0.98528685169652
ANTXR1,-1.37725921311788,0.760683024726153,-0.100634452094714,0.717210640486444
TNS1,-1.01360456629437,1.32887028529389,0.122557532253784,-0.437823251253296
NECAP2,-0.630953643045761,1.48683324300409,-0.316227081337118,-0.539652518621214
SAE1,-1.43886618499803,0.570587901220942,0.0971376881750092,0.771140595602075
SHTN1,0.407021744534507,-0.650994321413363,1.2130358711416,-0.969063294262748
PSMD3,-0.904580420098309,0.914460490361649,0.815257339665428,-0.825137409928764
DNAJC13,0.323059248791192,0.603369117597127,0.562076914659536,-1.48850528104785
VPS26A,0.59354110135639,-1.03847343430699,1.07987490703807,-0.634942574087464
PTPRF,0.322459447183815,-1.33849159946123,1.05037180620104,-0.0343396539236259
NF2,-0.758250843671881,0.707785171470841,1.00574862309263,-0.955282950891592
MYH10,0.826235228073781,0.0403198561351742,0.551671898249421,-1.41822698245837
LRPPRC,0.787375111001325,-0.105173695519087,0.692407768930341,-1.37460918441258
RANBP1,-0.847448430605934,1.12597726508931,0.559025350743715,-0.837554185227087
