a1preNR,a1postNR,a2preNR,a2postNR
HEBP1,-0.682805289977224,0.939339623654029,0.771319703684707,-1.02785403736151
GPR180,1.00016176703903,-0.200946466245679,-1.30512529488121,0.505909994087855
TELO2,1.43421905273472,-0.390001230253688,-0.872622333793635,-0.171595488687401
C3orf85,-1.33356420822549,1.05144300571122,0.336352590118446,-0.0542313876041766
APOA4,-1.21913278341408,1.10535235603935,0.434672182934516,-0.320891755559781
LAMB1,-0.947820787595262,0.950807022519759,-0.775313930612779,0.772327695688282
ENO2,-0.312412508985307,1.48728313372159,-0.598084536346838,-0.576786088389442
TGM2,-0.871548279106325,1.17438448051939,0.487083977073502,-0.789920178486571
PON1,-1.37883684784161,0.0632624888561693,0.996489746303164,0.319084612682273
BLVRB,-1.29165783614711,0.989813738480164,0.542287522392077,-0.240443424725128
PRDX2,-0.915097982688674,1.22869028078554,0.392633469405757,-0.706225767502623
THBS3,-1.4819131781609,0.545687049792863,0.283858763878831,0.652367364489209
COMP,-1.42543083812438,0.915206824365014,0.26888012678327,0.241343886976102
LUM,-1.43048902145274,0.899814440175795,0.305508033397132,0.225166547879815
CDH11,-1.21204754704286,1.10526918992809,0.44301717596584,-0.336238818851069
CDH13,-1.46690678999697,0.77733919426415,0.400355877093216,0.289211718639604
HBA2,-1.40789282465891,0.950776883998287,0.160061183816531,0.297054756844095
IHH,-1.44879852010482,0.817111387598322,0.185848351510347,0.445838780996145
KPRP,-1.25584179667855,0.847178748397424,0.761846907992776,-0.353183859711653
FAT4,-1.20719376162018,0.178984690719494,1.21483299771377,-0.186623926813083
PPP1R3F,-0.845375643500504,1.43013576619911,-0.47822880504288,-0.106531317655722
AGBL1,-1.45301438402934,0.825540084839091,0.241727531988969,0.385746767201277
PGLYRP2,-1.48352943137292,0.407988162509332,0.702530421680162,0.373010847183424
PARK7,-1.07903777482608,1.23331633161482,0.311902730987734,-0.466181287776474
CDH23,-1.48170328329384,0.703210445684806,0.329980491612961,0.448512345996072
CARD9,-0.178865049926404,0.81267255348008,-1.34323572510577,0.709428221552095
PCDH18,-1.40940102255372,0.878241970550825,0.490540444301961,0.0406186077009341
NECAP2,-0.355932077279068,1.18986008223389,-1.16188929482095,0.327961289866127
TTC24,0.123707928564839,0.0687009923538035,1.1206492541743,-1.31305817509294
PHGDH,-0.284551918069273,1.1729429309137,0.313635540345892,-1.20202655319032
PDCD6,0.950734856543438,-1.19529988140828,0.686842252568533,-0.442277227703691
HP,0.756768011914586,0.38770790704045,0.328337465022609,-1.47281338397765
CRP,1.0175728549019,0.105064154647525,0.252115598509003,-1.37475260805843
LTF,0.358478392351722,0.0925244828477181,0.949494448684911,-1.40049732388435
ANXA1,0.795361453770486,-0.0857419051523697,0.67190063560857,-1.38152018422669
S100A8,0.78603351805443,0.250605167174721,0.425618811297928,-1.46225749652708
S100A9,0.714002456680557,0.182673940426172,0.565273276021374,-1.4619496731281
LTA4H,-0.4165776753149,0.915504988929311,0.715898820073767,-1.21482613368818
SAA2,0.848015168410474,0.498920575207271,0.076475654419289,-1.42341139803703
PLA2G2A,1.04993380474322,0.359564172455516,-0.0822498570015189,-1.32724812019721
BPI,0.437643443018653,-0.710506081255923,1.2009552304537,-0.928092592216435
AZU1,0.548860688168976,0.108460437808461,0.782859285481149,-1.44018041145859
HMGB2,0.680652728609072,0.35261707813559,0.452527057416234,-1.48579686416089
CAPG,0.518101353697077,0.688217188758262,0.271576653340182,-1.47789519579552
NAMPT,0.741478907040279,0.449686677358662,0.281501353676012,-1.47266693807495
RPL5,0.338076515142483,-0.327386974111485,1.17331228434557,-1.18400182537656
PGD,0.81397242955155,0.0137068585738004,0.584843114365183,-1.41252240249053
PAK1,-0.418074703635606,1.10782579162183,0.479762945257902,-1.16951403324412
HNRNPD,0.109223863074142,0.141888709723188,1.08613859674639,-1.33725116954372
PRPSAP1,-0.825151401780292,-0.20993160828756,1.45010664085991,-0.415023630792053
NAA25,-0.258627993809816,-0.340924690349373,1.44806859707979,-0.848515912920597
PSMD5,-0.367180241320334,0.374685803690016,1.16345779368241,-1.17096335605209
APBB1IP,0.346809401455735,0.773917273160848,0.34869143380471,-1.46941810842129
LXN,0.611341990163192,0.142480150740654,0.700548086001305,-1.45437022690515
CRISPLD2,-0.179230340883256,0.517209027663666,0.980631574619547,-1.31861026139996
MBP,0.0646869228852841,0.569980996255329,-1.42853501746268,0.793867098322071
DDX42,-0.208115184806377,0.625819260728181,-1.32191088079757,0.904206804875764
ANKHD1,-0.827757240893747,0.0658139485934386,-0.624067577954506,1.38601087025481
NUP133,-0.116214659972422,-0.810692237524085,-0.511147508185502,1.43805440568201
MAP4K5,0.542137534853966,-0.0596061252258676,-1.37839272553319,0.895861315905092
