preR,postR,preNR,postNR
PSMD3,1.30991103612107,0.252409399330327,-0.781183276473106,-0.78113715897829
DNAJC13,1.39198860863522,-0.460283597764484,-0.922180024558388,-0.0095249863123496
DYNC1LI1,0.704132419567041,-1.48140675270052,0.327180375672911,0.450093957460564
LPCAT1,0.209249161035347,-1.45254274305309,0.813277820159345,0.430015761858402
NF2,1.02821303651687,-0.5631006270251,-1.103627630821,0.638515221329233
CRP,-0.267028873538721,-0.99812667875438,1.38495049897293,-0.11979494667983
SAA2,0.103847015901655,-0.775645729035989,1.37559468329324,-0.703795970158907
AZU1,0.0571615766024232,0.403486108309398,0.937544594003084,-1.3981922789149
BPI,-0.689416559550925,0.299074024719627,1.28123661717728,-0.890894082345982
LTF,-0.50707567266964,0.484478270935923,1.1310977332595,-1.10850033152579
SFRP2,-1.22302444434648,0.835046742811259,-0.41084368696785,0.798821388503066
SFRP4,-0.88773083338295,1.43363605900431,-0.334659014842625,-0.211246210778732
MYOC,-0.672834323247686,1.41267370655297,-0.742723806255035,0.00288442294975037
AHSG,-1.10965351100803,1.29639336667652,0.0945096047087105,-0.281249460377203
CHAD,-1.19900446631288,1.20821916002695,-0.231049719013181,0.221835025299106
RBP4,-1.38445936845169,0.970520415604037,0.373837166016235,0.0401017868314168
SPP2,-0.488196149786893,1.49570844726492,-0.411614287110057,-0.595898010367968
THBS3,-0.817157569085772,1.42663273390312,-0.540579225866065,-0.0688959389512862
APOA1,-0.571117970125551,1.39368953988356,0.0320773489806849,-0.85464891873868
MASP1,-1.30264116431498,1.04083713828851,0.435461838474239,-0.173657812447768
FCN3,-0.440141557454963,1.33872903657073,0.103132838021299,-1.00172031713707
