No41,No43,No410,No419,No145,No175,No21,No28,No216,No225,No269,No447,No321,No356,No322,No261,No468,No481,No516,No432,No433,No456,No524,No51,No422,No423,No426,No361,No141,No178,No179,No23,No238,No243,No472,No317,No338,No318,No325,No452,No430,No264,No431,No521,No522,No52
Q8IXQ6_PARP9,-1.55584211286966,-1.55584211286966,0.579590193231527,0.544430989240471,0.475186578686463,0.439971891522699,1.70260611272131,0.888928882606994,0.689915535446008,-0.0926053161363921,0.398698722036164,1.13981847499515,-1.91191949300611,-0.471683331151519,-0.863200372251466,-0.435970296702049,-1.27803615193958,-1.55584211286966,-1.57224577511948,0.339728494291243,-0.276544523174871,-1.55584211286966,1.16392315887045,0.717451037994036,-1.55584211286966,-1.55584211286966,-1.55584211286966,0.77093479466948,0.765949143327006,0.838900922529579,0.932580806533517,0.824434839139537,-0.188933415373344,0.93947012511649,0.200939180505917,0.277201429721013,-1.55584211286966,0.400864667372685,0.229227908325217,0.477757969555938,0.366817227384938,0.256536801709509,0.459135633838662,1.17896247614562,0.964776084663793,0.573135495630685
P42704_LRPPRC,0.609743960743477,0.25812982569525,-0.155304510392259,-0.0127488949002268,0.581903977072385,0.673394607607644,1.04494518613515,0.998000245699022,0.579078211796973,-2.26592067213647,0.0534719924293665,0.975669262012857,-0.624910541387026,-0.0622187929844798,-0.623029544914843,-0.0146393736051878,-2.26592067213647,-0.566637780336191,-0.378445526728225,0.232314580702269,0.0637976548842887,-1.20266010379979,1.18604480440512,0.505618061144482,-2.26592067213647,-2.26592067213647,-2.26592067213647,0.126952194972876,0.25023841832984,1.05427053845199,1.19522850680535,0.418871828976167,-0.603256382902187,0.952004917672916,0.0835973431530526,0.0360320558946784,-0.266505116862398,0.18663138993623,0.0284407889296482,0.786858616917524,0.360512814141285,-1.09704591634569,0.378399136148908,1.48159387399076,1.16952954211269,0.66573150907862
Q66K14_TBC1D9B,-2.01760811325254,0.474964995068269,0.184191875856689,-0.105972236730746,0.745579609767751,0.541529869527492,1.01832841296085,0.454861152056339,0.49129816084547,0.18612562301361,0.570424142067943,0.555306466346825,-0.186816150356647,-0.236866866582886,-0.813580592405178,-0.355120516763948,-2.01760811325254,-0.55963119461848,-2.01760811325254,0.587854045237327,0.137086039197468,-2.01760811325254,1.00940030970377,0.409417373666471,2.04237507429856,-2.01760811325254,-2.01760811325254,0.184872830218586,0.53367136440084,0.864984660172131,0.721593167639237,0.343882623492827,-2.01760811325254,0.560812732633479,0.302651409440595,-0.0258144950529365,0.757413211025843,0.378084108047439,0.101875243386292,0.823131168233187,0.260409147860454,-1.08714040137545,0.260731438677361,0.670260218668845,0.943262546756994,0.377820226385106
Q8NF37_LPCAT1,-0.411012003119137,-2.61122597696911,0.754958851658664,-0.203432964760605,0.976669251436059,0.483568543035415,0.638923226496082,0.753855433378784,0.573938609562193,0.254823809547378,-0.430433382158526,0.866453025271195,-2.61122597696911,-0.401285215970998,-0.974281417796323,-0.36491315844118,0.519836663207009,-1.16027504628026,-2.61122597696911,-0.299262868646874,-0.269701808978218,-2.61122597696911,0.826794073652489,0.0195194384330128,1.24588544194384,-0.00761599939497633,0.554963957397082,-0.708761859163945,0.478640772123673,0.800311543513088,0.848445215416263,0.746962621053903,0.950996293825247,0.363426626903031,0.0963621884329769,-0.423436439263483,0.0716578030483832,0.468161956737942,-0.542673502611086,0.86312216738966,-0.120250686947752,-0.0380418398004951,0.830579696377639,1.04608237283798,0.954147269238362,-0.188804750707044
Q9Y6G9_DYNC1LI1,0.634984784071894,-0.120524759067063,0.409862904056358,0.183598002295687,0.405046421840672,0.596297904533765,0.896305808714828,1.01417883582017,0.822156727067424,-2.5421168212745,0.287204475084674,0.408666855706973,-0.164155937917549,0.321565877711577,-1.16891226193089,-0.409603620358057,-1.91375342096626,-0.333079636796972,-0.594879875510444,0.177605900559805,0.58746023564471,-2.5421168212745,-0.0232613585719324,-0.0214647989517824,-2.5421168212745,0.386204219334331,-0.567598879086362,0.528443682602352,0.457034549042718,0.171454067903116,1.07500455927384,0.958104391679925,-0.514167086374264,0.917039749339866,0.441008276289309,0.55126230334131,-0.49668399167999,1.04634662245372,0.614125680581669,0.583330338269484,-0.306992741743411,-2.5421168212745,0.963869538948271,-0.117604351413881,0.407676561549423,1.075310731749
Q08378_GOLGA3,1.363134207775,-1.57560298788142,-0.325115935273085,-0.259330802842484,0.939467796433749,0.915704447573974,1.46754903724806,0.664109630776153,0.675294430158495,-0.692631716564155,-0.0515220988806179,0.732706106735781,-1.50338883998846,-0.525093175520181,-0.567036433058906,-1.02235829533121,-2.30633234868325,-0.865639478813694,-1.00934001355228,-0.0768448948239875,-0.935528180550803,1.10097241169946,0.769791758465545,0.156144836329567,-1.58012528328817,1.11950238451124,-1.0850046131189,-0.229744722914078,0.383248304727648,0.919619063445764,0.593238140905531,0.371137871053485,-2.6021708367003,0.27969999395426,-0.371486678616475,0.12734773801177,-1.21989775586723,0.122787427695292,-0.0334388175241634,0.786256399192416,0.537452022604536,1.05648246494503,0.574594259863228,1.33549270981237,1.22634555956378,0.619554906311696
O75165_DNAJC13,-1.0300424198368,-0.72301022435745,0.730316845178292,0.0984549661154086,0.697744919397958,0.800929476471347,0.959240752623834,1.21821290121338,0.876232227662355,0.792650469169839,0.322935840524681,0.483150870808043,-0.313181135260086,-0.22728432800362,1.21437506232589,-0.286709421565701,-1.5490347314315,-0.00912725565832943,-0.420602635353614,0.274903036343636,0.262701339466057,-1.43658218795464,0.759697674355652,-0.100183892331193,-4.33100300544597,-1.34059186658907,-0.818453533770586,0.498192210916903,0.227312525265139,1.07160020643066,0.998123332790309,0.280526187487598,-0.15339459844341,0.495154324908802,-0.21923908923832,-0.24310543176367,-1.21630746873427,0.151080600105663,-0.131734375802495,0.672091224427962,0.717331454539381,-1.76935186698246,0.272995177431417,0.584433570905274,0.470847715491893,0.387704556165823
O75436_VPS26A,1.64279382541663,0.139360422236411,0.800870682971301,-0.134189599926377,0.513202634733737,0.0154824687384349,1.06264663840594,0.633918252855016,0.430893680984892,-1.72842395388891,0.451408786540909,0.511281783420171,-0.0308282979160785,-0.342377073995498,0.157537504849066,0.0777899260167371,0.929389016268339,1.06664925858991,-1.72842395388891,-1.72842395388891,-0.307705239390205,-1.72842395388891,-0.0157391401527928,-0.126367313136367,-1.72842395388891,-1.08131532951234,-1.72842395388891,-1.72842395388891,0.308308313637693,0.158220150724035,0.876804867641551,0.790348471472183,0.903180437257201,1.25957580093562,-0.0509129272484814,0.570262527987527,-1.72842395388891,0.388943192448283,1.77775056837296,0.489338222771144,0.117044576980418,-1.72842395388891,0.701566036288868,-0.135750858932521,0.632934965720759,0.373498350945145
Q0VD83_APOBR,0.0978542851158835,0.273728924307578,1.75264570838588,0.941785347836148,0.546872319997254,1.04329560118235,0.584698680437185,0.23452444643541,0.176195368775224,0.380963352117682,0.673875981689688,-0.540442328766287,-1.48663444028353,0.558773654559423,-0.590889985803713,0.0518490610988265,-0.890314024203496,-1.4855521829797,0.334173801573862,-1.17212135308866,1.14333710386568,-0.185672295329974,0.0481819231347914,-0.654455931492132,-0.309555772466572,0.192885742212052,1.99213656997991,0.00199255761693655,0.517324573385706,-0.309581468728758,-0.239718497007619,0.293747873091283,-0.881108587726428,-0.365232093306745,-0.800966686581728,1.52988168005803,1.05372042972051,1.85717511316464,-0.0460389050215659,-0.134356258628093,0.122449347604486,-3.67679654451515,-0.428712519236423,-0.600338293453208,-1.38209702787214,-0.223484250854482
Q96B23_ARK2N,-0.186505314452121,0.270627993528583,0.55639606153101,0.775550065223231,0.593198920744146,0.729129132288062,0.6427003019987,0.219043553233315,0.593060943400771,0.783566021434947,0.668116968370732,0.321016007961526,-2.02682759475903,-2.02682759475903,1.52323735920921,-2.02682759475903,-0.360605854668502,0.140382486751629,0.366104013025544,0.197225251016097,0.216929550146316,-2.02682759475903,0.924607730222001,0.579650361091904,-2.02682759475903,-2.02682759475903,-2.02682759475903,0.501572949433897,0.217706456772785,0.49118270793997,0.215920543374077,0.433543541152563,0.362730605588158,0.154257693103227,0.358552872918659,-0.0760529044091866,-2.02682759475903,0.364753012707256,0.00191969854656175,0.688361557355245,0.521958398906292,-0.405778758780177,0.531925773300124,0.928453903899533,0.988349912575774,0.38183124163036
