preR,postR,preNR,postNR
SAA1,0.955105540923236,-1.38098214311424,0.425042386334861,0.000834215856146176
SAA2,0.975293760205145,-1.39104456674154,0.324864137930806,0.0908866686055897
CRP,0.672860618657972,-1.44814520313071,0.661139060999906,0.114145523472832
FCGR3A,1.4640972759936,-0.725406489624011,-0.53871562714847,-0.199975159221122
PLA2G2A,0.665506544284103,-1.43360635043538,0.705674851891472,0.0624249542598017
C9,0.579100287090513,-1.49098201886947,0.569631961678721,0.342249770100234
AGPAT2,0.233421449335314,-1.47416788807205,0.584195863547039,0.656550575189697
ACTN4,0.173479837239975,-1.39369966487323,0.233919950946274,0.986299876686976
HIP1,1.32169779308683,-1.09276389755594,-0.242483828852039,0.0135499333211435
BMP6,-1.26582197815445,0.925852096975528,-0.321290366185045,0.661260247363968
CXCL12,-0.619771583574759,1.49436834332947,-0.449271110586072,-0.42532564916864
SFRP2,-0.973613756631413,1.39923753402784,-0.25543099429162,-0.170192783104805
SKP1,-0.584754798390281,1.48913871928397,-0.326548492046521,-0.577835428847167
NOTUM,-0.612376516433591,1.49479528531377,-0.466215536566879,-0.416203232313302
COL11A2,-0.761314076211794,0.935724612767184,-0.961736802526951,0.787326265971562
COMP,-0.651911075384145,0.533655297657099,-1.00933637319466,1.12759215092171
APOA4,-0.432436766118602,0.606413066243982,-1.18928751046684,1.01531121034146
CDH11,-0.328827346399223,0.564244358536652,-1.24593505586218,1.01051804372475
CDH13,-0.079191377854431,0.711914361487909,-1.38564571048167,0.752922726848194
LAMB1,-0.27777999907084,-0.121194451824379,-0.98974779563309,1.38872224652831
CDH23,-0.115966654433456,0.991707662764493,-1.33776118914825,0.46202018081721
FAT4,0.361868111564292,-1.33024652957653,-0.0773342812178257,1.04571269923006
