No558,No349,No355,No14,No147,No176,No223,No567,No479,No330,No480,No335,No519,No455,No421,No377,No347,No348,No16,No132,No138,No140,No22,No220,No451,No326,No262,No328,No332,No333,No334,No429,No240,No454
P02741_CRP,-0.721494079171375,1.16235420574106,-0.520464774412915,0.695719802787674,0.912234382260321,1.09419878046326,1.04954354503531,-1.18709058840932,-1.846257206752,-1.846257206752,-1.846257206752,-0.879396237860156,-1.846257206752,0.238360495000744,0.921987947772104,0.489653696408739,0.215385308805857,-0.0701289113889303,0.0961793175126215,0.186287269800185,1.85458877691682,0.661306761906155,0.979299281535464,-0.19044138537465,-0.116886229191694,1.26417992461557,-0.0727618931592649,0.252648073082836,-1.01771940748835,0.323649956853944,0.219375297340918,0.696515303087699,0.22801280270105,-1.38006859616369
P0DJI9_SAA2,0.784479874598961,1.46367941272833,-0.909467857742228,1.30154757870636,0.126608961218551,1.79913741834454,0.633194737856335,0.501117038794294,-1.93154887188804,-1.73950570047496,-1.50650058167856,-1.80893392550543,-0.975601125163282,-0.44754954875852,1.07425227960238,1.33384025281661,0.437676879392564,-0.26636938894723,-0.184247742383392,0.251183075904909,0.0943047847977291,0.47747802247963,0.326578934772749,-1.2642714721798,-0.218913338976717,1.10193727670169,0.11718191821874,-0.221405169442267,-1.01817417024499,0.504433652011396,0.538016697811357,0.632674035316805,0.308422571875797,-1.31525651056431
P0DJI8_SAA1,0.720383608017985,1.65561521147097,-0.59320841012463,1.27220765206413,-0.185185043791461,1.58045906108394,0.621360526394739,0.479283464151119,-1.86859674766338,-1.54251441345912,-1.50988784509395,-1.97873581702773,-1.0026454590453,-0.417983830133773,1.25803072419299,1.46854986662516,0.172025032639845,-0.0655316816751301,0.0753239119001495,0.00478610406265473,0.554510702319171,0.298856382490666,0.319065715602295,-1.02602945904419,-0.410116448093756,1.2151473903988,0.331322960842226,-0.333013810104511,-1.08771309808969,0.589565000238983,0.638084057345798,0.33207656981981,-0.10958384405149,-1.45590803426332
P14555_PLA2G2A,0.043307478519897,1.08506272858817,-0.993005474846624,1.23008681077819,0.130305960377395,0.859112464340537,0.399327967880959,0.108447427088633,-1.460767895349,-1.02002143644283,-1.62737417115733,-1.37540578774112,-1.33665624619616,-0.206188770669349,1.93387301876967,1.27570513371881,0.682218428726812,0.254355188021396,-0.226623337930111,0.549933195180048,1.10986422306789,0.324481398032602,0.641083536689889,-2.34591503845325,0.466864605395313,-0.0902231430271411,0.218568781895456,-0.0900607651779692,-1.04183690524929,0.409616736596353,1.46744886968285,-0.0284484935437266,-0.0602206657284018,-1.28691582183859
Q8IUR6_CREBRF,0.489259726307193,0.369189187256083,-1.4324135863657,1.48171198942656,0.428360513871523,-0.344694832170305,0.401618150860474,-1.4324135863657,-1.4324135863657,-0.117778896012065,-0.0686785104614687,-1.4324135863657,-1.4324135863657,0.114776323978673,-0.00498650140108933,0.712002254859113,-0.16396446883186,1.13740711177321,0.84428503207378,0.605241060490038,1.34976600537541,-1.4324135863657,-0.953899582579262,-0.584071982240027,1.04629597714021,-0.348359709919046,-0.363832818396665,1.22761283095,0.673913779407066,0.960484395835581,-1.4324135863657,1.2103588530416,1.35729280029091,-1.4324135863657
O75223_GGCT,0.811357328098793,0.477765597558166,-0.474540432996817,0.799507782456603,0.972442039386604,-0.765588247812787,0.3607728033598,-1.16662161923672,-1.16662161923672,0.0909433842036098,-1.16662161923672,-1.16662161923672,-0.0770404515692692,-0.00129260521681936,-1.16662161923672,-1.16662161923672,-0.20646152281603,1.61531477222041,0.69369802718374,-0.362067590612218,1.56696590685904,-0.329891792111528,-1.16662161923672,-0.173237999122544,1.01269338409845,-1.16662161923672,0.517699050857937,1.45609650661779,1.16119929436195,0.0773198045452369,-2.40638106940264,0.527316495171874,0.914341769062057,1.07404071951237
P08637_FCGR3A,0.811616325372792,0.766901546406739,-0.345201078444378,-0.0854831907834908,1.20194974827494,0.696129061217072,1.1876756632681,0.529241547846115,-0.433860934840017,-1.21302439160211,0.310130300367535,-0.714608528320994,-0.451244794180262,0.145617490309025,-0.229853847986775,-0.325640976441068,0.529965077638396,1.92057464934169,-0.806209001509673,1.42414590141538,-0.0197664410385026,-0.149852283030992,-1.25043599201722,-2.96567217301475,0.553816191643982,-0.804116042943435,-0.0980800626237497,1.81687214678901,1.10068232577352,0.225409924299978,-0.823586077212579,-0.740691272582762,-0.783597273966041,-0.979803537425466
P12273_PIP,0.513597685833869,-0.243775935672263,0.971122182839443,1.38920734423388,0.623639255485247,-1.92241268777094,0.303033608764995,-0.221676341641044,-1.92241268777094,-0.558875592196062,0.231618030987516,-0.859399282120523,-0.498233683378543,-0.800617629461776,-0.526905590650793,-0.204578059292762,0.566582118990426,1.20685477508746,0.646545278415193,-0.100180966521276,1.83559179530133,0.128186605733505,-1.92241268777094,-2.10304584506669,0.944669767229041,-0.929600726939926,-0.0150967682790675,1.4066221128634,-0.0787757584017045,0.846205818115605,0.0822694571081821,-0.351956166525493,0.936673298927916,0.627537273543748
P02748_C9,0.580424549455534,1.09358179640067,-0.667001929939837,1.11973403212764,0.186807697130186,-0.447652572327085,-0.128061949320819,0.192462838857333,-2.11527425001903,-0.913891758639283,-1.27842118031133,-0.847725823580546,-0.768537368067759,0.254688590552623,3.00259431769747,0.221654100621225,0.479390690626941,-0.0471661639863713,0.371963322459094,-0.844528478306506,0.486202807262589,0.641332452609279,-1.15630109768656,-0.719665999955397,0.550441534071135,1.7861565361642,0.59642385298709,-0.31051608858899,-0.67042996187254,-0.234229223555504,-0.677746066370331,1.20737082241535,0.449407048644102,-1.39348707755458
P26572_MGAT1,0.540021937980797,1.90404039563808,-0.541447594433752,1.73554295547372,-0.55567516049977,1.40467117711157,-0.248964952057094,0.900761776506531,-1.57692270895688,-1.33811217477585,-1.07058921851824,-1.46556662924201,-1.31268189232422,-0.354050457789206,-0.272417493335995,1.24238765814859,-0.044650876477304,0.173448655421445,-0.148108782807391,0.388555436969718,0.838439589408817,0.364970153021782,-0.319794559308573,-1.09509002384087,1.09563525257311,1.0235649058247,0.0199304681433519,-0.703694898550566,-1.95496390145399,0.955108502197835,0.0177968945884685,0.888909252502353,0.407730699074702,-0.898784386213872
Q32P28_P3H1,0.656935068156437,0.684323085625964,0.359581918142498,1.33986910349796,0.291278769463624,0.289409130498574,0.791760634526979,0.617793879669259,0.0266784669374535,-0.793336279632763,0.120992789152193,-1.2006808565451,-0.0431236298846779,0.171612315675946,-2.61747772052829,1.01557952301868,0.261290410201743,-2.61747772052829,0.766705459442556,0.406258842232792,0.0999625496322013,0.971578841871561,-0.565786869993134,-0.592364455619731,1.13154066691282,0.0645994661152434,0.00444459915670875,0.638047926380342,-0.78670429026961,-0.0438526142658544,0.321188443132595,-2.61747772052829,0.617606026630485,0.229244241721128
P49356_FNTB,0.377647290209726,1.26536518502792,0.530892126279665,1.36656500241151,0.0495863821830532,-0.222330295652524,0.123848960178991,0.138254654606173,-3.2300692753032,-0.389811160178226,-0.466490727697375,0.568016698039432,-0.726416489971604,-0.300633181037843,0.597761938007027,0.574807393887074,-0.468421452073776,1.04297767277407,0.338149742179836,0.17590957073187,-0.454311473864276,0.938117395613072,0.161297175953888,0.689741385228718,-0.111334667859918,0.0486041645610329,-0.806949396217745,-0.10189438041452,-0.024247541497716,0.38185160462732,-0.628988068604142,1.27716139794965,0.515411645226026,-3.2300692753032
Q9BYD2_MRPL9,1.73995483537373,-0.135519453975961,0.689543485932897,1.61515860730904,-0.137235613879117,0.157137665751557,0.468031126969386,-0.041276091705358,0.0485218777524384,0.0870388174857437,-0.149898323863518,-0.224165684935811,-1.98591861154088,-0.498576414418089,1.49671994675686,0.732604834019411,0.335159241708531,0.321633870626175,-0.0590272887316644,0.161853060815172,-0.629968877531553,-1.98591861154088,1.25793769908407,-0.0253691024317568,0.347200826064843,0.585880790770842,0.701711976004516,-1.98591861154088,-0.0136035902828663,-1.98591861154088,0.671426584233345,-1.98591861154088,0.0481179875686655,0.37860026523288
O15120_AGPAT2,-2.97895014478538,0.144739929656759,0.616956835452913,0.860427378865149,0.64665735766685,0.506053441660453,0.474132139819785,0.0237156572292949,-0.00887093936403912,-2.97895014478538,0.0130691588965828,0.0424526030824885,-0.242239842739089,-0.299216237241182,-2.97895014478538,0.086676478157497,0.692482389360451,0.235169532413954,0.571470395786804,0.4030374713603,0.363683573921253,1.01131823465212,0.395620298274263,0.696911855787453,0.260014488884264,0.0571295630795197,-0.197468229737522,0.13427071627861,0.375707048761695,-0.472284582007661,-0.0279537160151281,0.563550431157842,0.640852913277146,0.368784087977326
